org,org_conviction,org_country,continent,indiv,indiv_type,categorized,cat_agw_opinion,cat_occupation,cat_organisation,cat_relgion_opinion,cat_topic,country,wiki_type_x
the galileo movement,unconvinced of agw,australia,oceania,malcolm roberts,members,person,unconvinced of agw,,,,,,
the galileo movement,unconvinced of agw,australia,oceania,jackson wells,members,person,,,,,,,
the galileo movement,unconvinced of agw,australia,oceania,alan jones,members,person,unconvinced of agw,,,,,,
the galileo movement,unconvinced of agw,australia,oceania,tim ball,members,person,,,,,,,
the galileo movement,unconvinced of agw,australia,oceania,warwick hughes,members,person,,,,,,,
the galileo movement,unconvinced of agw,australia,oceania,fred singer,members,person,unconvinced of agw,,,,,,
the galileo movement,unconvinced of agw,australia,oceania,dick lindzen,members,person,,,,,,,
the galileo movement,unconvinced of agw,australia,oceania,bill kininmonth,members,person,,,,,,,
the galileo movement,unconvinced of agw,australia,oceania,bob carter,members,person,unconvinced of agw,,,,,,
the galileo movement,unconvinced of agw,australia,oceania,ian plimer,members,person,unconvinced of agw,,,,,,
the galileo movement,unconvinced of agw,australia,oceania,david archibald,members,person,unconvinced of agw,,,,,,
the galileo movement,unconvinced of agw,australia,oceania,peter ridd,members,person,unconvinced of agw,,,,,,
the galileo movement,unconvinced of agw,australia,oceania,garth paltridge,members,person,unconvinced of agw,,,,,,
the galileo movement,unconvinced of agw,australia,oceania,vincent gray,members,person,unconvinced of agw,,,,,,
the galileo movement,unconvinced of agw,australia,oceania,jennifer marohasy,members,person,unconvinced of agw,,,,,,
the galileo movement,unconvinced of agw,australia,oceania,jo nova,members,person,,,,,,,
the galileo movement,unconvinced of agw,australia,oceania,john nicol,members,person,unconvinced of agw,,,,,,
the galileo movement,unconvinced of agw,australia,oceania,david flint,members,person,unconvinced of agw,,,,,,
the galileo movement,unconvinced of agw,australia,oceania,andrew bolt,members,person,unconvinced of agw,,,,,,
the galileo movement,unconvinced of agw,australia,oceania,john mclean,members,person,unconvinced of agw,,,,,,
the galileo movement,unconvinced of agw,australia,oceania,david evans,members,person,unconvinced of agw,,,,,,
the galileo movement,unconvinced of agw,australia,oceania,christopher monckton,members,person,unconvinced of agw,,,,,,
the lord monckton foundation,unconvinced of agw,australia,oceania,chris dawson,members,person,unconvinced of agw,,,,,,
world growth institute,unconvinced of agw,australia,oceania,alan oxley,members,person,,,,,,,
australian petroleum production and exploration association,unconvinced of agw,australia,oceania,belinda robinson,members,person,,,,,,,
australian petroleum production and exploration association,unconvinced of agw,australia,oceania,noel mullen,members,person,,,,,,,
australian petroleum production and exploration association,unconvinced of agw,australia,oceania,dorothy deklin,members,person,,,,,,,
